"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"207",207,"55+",13.9099999999162,"alive","none","none",1,"m",21,1997,1985,"unavail","driver",0,3,"4:1:1"
"209",209,"10-24",28.1659999999683,"alive","none","belted",1,"f",17,1997,1993,"unavail","driver",0,3,"4:3:2"
"211",211,"25-39",121.484999999404,"alive","airbag","belted",0,"f",77,1997,1995,"nodeploy","driver",0,1,"4:4:2"
"214",214,"40-54",337.752999998629,"alive","airbag","belted",1,"m",56,1997,1991,"deploy","driver",1,1,"4:7:1"
"215",215,"25-39",225.10399999842,"alive","none","none",1,"m",17,1997,1987,"unavail","driver",0,3,"4:13:1"
"217",217,"10-24",1751.94799999893,"alive","none","none",1,"m",19,1997,1987,"unavail","driver",0,1,"4:14:1"
"218",218,"25-39",15.8549999999814,"alive","airbag","belted",1,"m",84,1997,1993,"deploy","driver",1,3,"4:15:1"
"220",220,"10-24",30.7089999997988,"alive","none","belted",1,"f",26,1997,1986,"unavail","driver",0,1,"4:16:2"
"223",223,"10-24",128.177999999374,"alive","airbag","belted",1,"m",68,1997,1994,"deploy","driver",1,1,"4:20:2"
"225",225,"10-24",844.381999999285,"alive","none","belted",1,"f",40,1997,1991,"unavail","driver",0,0,"4:21:1"
"227",227,"10-24",18.5359999998473,"alive","none","belted",1,"f",81,1997,1993,"unavail","driver",0,3,"4:24:2"
"230",230,"25-39",114.633999999613,"alive","none","belted",1,"m",52,1997,1988,"unavail","driver",0,2,"4:26:2"
"231",231,"10-24",167.699999999255,"alive","airbag","belted",0,"f",60,1997,1997,"nodeploy","driver",0,1,"4:30:1"
"233",233,"25-39",18.5359999998473,"alive","airbag","none",0,"m",18,1997,1994,"deploy","driver",1,3,"4:32:1"
"234",234,"10-24",18.5359999998473,"alive","airbag","belted",1,"f",79,1997,1994,"deploy","driver",1,3,"4:36:1"
"236",236,"10-24",18.5359999998473,"alive","airbag","belted",0,"f",72,1997,1994,"nodeploy","pass",0,3,"4:36:2"
"239",239,"10-24",12.3829999999143,"alive","none","none",0,"f",56,1997,1990,"unavail","pass",0,3,"4:37:2"
"241",241,"10-24",111.742999999784,"alive","airbag","belted",0,"f",23,1997,1992,"nodeploy","driver",0,0,"4:38:2"
"243",243,"10-24",103.653999999166,"alive","airbag","belted",1,"m",30,1997,1997,"deploy","driver",1,0,"4:41:1"
"246",246,"10-24",12.3829999999143,"alive","none","belted",1,"m",79,1997,1990,"unavail","driver",0,3,"4:44:2"
"247",247,"25-39",41.3019999996759,"alive","airbag","belted",1,"f",24,1997,1994,"deploy","driver",1,1,"4:45:1"
"249",249,"55+",88.1779999993742,"alive","none","none",1,"m",25,1997,1992,"unavail","driver",0,2,"4:46:1"
"250",250,"10-24",272.078999999911,"alive","airbag","belted",1,"f",73,1997,1991,"deploy","driver",1,0,"4:47:1"
"252",252,"10-24",76.3729999996722,"alive","airbag","belted",1,"f",39,1997,1995,"deploy","driver",1,2,"4:50:2"
"255",255,"10-24",351.892999999225,"alive","airbag","belted",0,"m",77,1997,1996,"nodeploy","driver",0,0,"4:53:1"
"257",257,"1-9km/h",351.892999999225,"alive","none","belted",1,"m",20,1997,1989,"unavail","driver",0,0,"4:53:4"
"259",259,"25-39",12.3829999999143,"alive","none","none",1,"m",41,1997,1987,"unavail","driver",0,1,"4:55:1"
"262",262,"10-24",21.3429999998771,"alive","airbag","none",1,"m",46,1997,1995,"deploy","driver",1,3,"4:57:1"
"263",263,"10-24",21.3429999998771,"alive","airbag","none",1,"m",86,1997,1995,"deploy","pass",1,1,"4:57:1"
"265",265,"55+",13.3739999999525,"dead","none","none",1,"m",23,1997,1986,"unavail","driver",0,4,"4:58:1"
"266",266,"25-39",13.3739999999525,"alive","none","belted",1,"m",26,1997,1994,"unavail","driver",0,3,"4:58:2"
"268",268,"10-24",95.7799999993294,"alive","none","none",1,"m",37,1997,1974,"unavail","driver",0,1,"4:60:1"
"271",271,"10-24",206.705999998376,"alive","airbag","belted",1,"m",62,1997,1994,"nodeploy","driver",0,2,"4:61:2"
"273",273,"25-39",18.5359999998473,"alive","airbag","belted",0,"f",76,1997,1994,"nodeploy","pass",0,3,"4:62:1"
"275",275,"25-39",12.3829999999143,"alive","none","belted",0,"f",17,1997,1989,"unavail","driver",0,3,"4:63:1"
"278",278,"10-24",1004.50099999458,"alive","none","none",1,"f",42,1997,1989,"unavail","driver",0,1,"4:65:2"
"279",279,"10-24",13.3739999999525,"alive","airbag","belted",1,"f",81,1997,1995,"deploy","driver",1,1,"4:66:1"
"281",281,"10-24",13.3739999999525,"alive","airbag","belted",0,"m",85,1997,1991,"nodeploy","pass",0,1,"4:66:2"
"282",282,"10-24",28.7269999999553,"alive","none","belted",0,"m",83,1997,1985,"unavail","driver",0,0,"4:67:1"
"284",284,"55+",13.9079999999376,"alive","none","belted",1,"m",18,1997,1986,"unavail","driver",0,3,"4:70:1"
"287",287,"10-24",276.395999997854,"alive","airbag","belted",0,"f",50,1997,1995,"nodeploy","driver",0,1,"4:72:1"
"289",289,"40-54",45.3339999997988,"alive","airbag","none",1,"m",56,1997,1994,"deploy","driver",1,3,"4:74:1"
"291",291,"10-24",19.8339999997988,"alive","airbag","belted",1,"m",76,1997,1996,"deploy","driver",1,0,"4:75:1"
"294",294,"25-39",17.6659999999683,"alive","none","none",1,"m",38,1997,1987,"unavail","driver",0,3,"4:77:1"
"295",295,"25-39",17.6659999999683,"alive","none","none",1,"f",41,1997,1987,"unavail","pass",0,3,"4:77:1"
"297",297,"25-39",86.3919999999925,"alive","airbag","belted",0,"f",36,1997,1994,"nodeploy","driver",0,1,"4:79:2"
"298",298,"10-24",86.3919999999925,"alive","none","belted",1,"f",18,1997,1979,"unavail","driver",0,1,"4:79:4"
"300",300,"40-54",12.3829999999143,"alive","none","none",1,"m",23,1997,1988,"unavail","driver",0,3,"4:84:1"
"303",303,"10-24",91.1489999992773,"alive","airbag","belted",0,"f",21,1997,1995,"nodeploy","driver",0,1,"4:86:2"
"305",305,"40-54",18.5359999998473,"alive","airbag","belted",1,"m",79,1997,1997,"deploy","driver",1,3,"4:92:2"
"307",307,"10-24",86.1639999998733,"alive","airbag","belted",0,"m",38,1997,1994,"nodeploy","driver",0,0,"4:93:1"
"310",310,"25-39",12.3829999999143,"alive","none","belted",0,"m",83,1997,1992,"unavail","driver",0,3,"4:96:2"
"311",311,"25-39",12.3829999999143,"dead","none","belted",0,"f",77,1997,1992,"unavail","pass",0,4,"4:96:2"
"313",313,"25-39",12.3829999999143,"alive","none","belted",0,"f",65,1997,1987,"unavail","pass",0,3,"4:97:1"
"314",314,"25-39",12.3829999999143,"alive","none","belted",1,"f",42,1997,1988,"unavail","driver",0,0,"4:97:2"
"316",316,"1-9km/h",553.538999997079,"alive","none","belted",1,"f",51,1997,1987,"unavail","driver",0,0,"4:99:1"
"319",319,"10-24",136.723999999464,"alive","airbag","belted",1,"m",22,1997,1995,"deploy","driver",1,0,"4:103:3"
"321",321,"10-24",13.3739999999525,"dead","airbag","belted",1,"m",37,1997,1995,"deploy","driver",1,4,"4:104:2"
"323",323,"10-24",43.4379999996163,"alive","none","none",0,"m",68,1997,1991,"unavail","driver",0,0,"4:105:2"
"326",326,"55+",12.3829999999143,"alive","none","none",1,"m",19,1997,1984,"unavail","driver",0,3,"4:108:1"
"327",327,"10-24",265.764999996871,"alive","airbag","belted",0,"m",30,1997,1995,"nodeploy","driver",0,1,"4:110:1"
"329",329,"1-9km/h",379.971999999136,"alive","none","belted",0,"m",22,1997,1989,"unavail","driver",0,0,"4:111:2"
"330",330,"10-24",18.5359999998473,"alive","none","belted",1,"m",34,1997,1994,"unavail","driver",0,1,"4:112:1"
"332",332,"10-24",18.5359999998473,"alive","airbag","none",1,"f",73,1997,1995,"deploy","driver",1,3,"4:113:1"
"335",335,"10-24",218.924999998882,"alive","airbag","belted",0,"m",32,1997,1993,"nodeploy","driver",0,1,"4:115:1"
"337",337,"10-24",38.0079999999143,"alive","none","belted",1,"m",32,1997,1989,"unavail","driver",0,1,"4:117:1"
"339",339,"10-24",20.6679999998305,"alive","airbag","belted",1,"m",73,1997,1994,"deploy","driver",1,2,"4:120:1"
"342",342,"10-24",20.6679999998305,"alive","airbag","belted",1,"f",39,1997,1994,"nodeploy","driver",0,3,"4:121:2"
"343",343,"10-24",20.6679999998305,"alive","none","belted",1,"f",48,1997,1989,"unavail","driver",0,0,"4:121:3"
"345",345,"10-24",18.5359999998473,"alive","none","belted",1,"m",20,1997,1993,"unavail","driver",0,0,"4:122:2"
"346",346,"10-24",31.3329999998678,"alive","airbag","belted",0,"f",41,1997,1997,"nodeploy","driver",0,0,"4:124:1"
"348",348,"10-24",12.3829999999143,"alive","none","belted",0,"m",27,1997,1992,"unavail","driver",0,3,"4:126:1"
"351",351,"25-39",100.340999999084,"alive","none","none",0,"f",38,1997,1985,"unavail","driver",0,1,"4:133:1"
"353",353,"25-39",12.3829999999143,"alive","none","none",1,"m",85,1997,1986,"unavail","driver",0,3,"4:134:1"
"355",355,"10-24",12.3829999999143,"alive","none","none",0,"f",40,1997,1988,"unavail","driver",0,3,"4:134:2"
"358",358,"25-39",54.4759999997914,"alive","airbag","none",1,"f",20,1997,1994,"deploy","driver",1,1,"4:136:2"
"359",359,"40-54",13.3739999999525,"dead","none","none",0,"f",33,1997,1987,"unavail","driver",0,4,"4:138:1"
"361",361,"55+",18.5359999998473,"alive","airbag","belted",0,"m",37,1997,1994,"deploy","driver",1,3,"4:139:1"
"362",362,"40-54",18.5359999998473,"alive","none","none",1,"f",18,1997,1985,"unavail","driver",0,1,"4:139:2"
"364",364,"10-24",74.0299999993294,"alive","airbag","belted",1,"f",17,1997,1995,"deploy","driver",1,1,"4:143:1"
"367",367,"10-24",74.0299999993294,"alive","none","none",0,"m",20,1997,1989,"unavail","pass",0,0,"4:143:2"
"369",369,"25-39",158.05199999921,"alive","none","belted",1,"f",19,1997,1987,"unavail","pass",0,0,"4:144:1"
"371",371,"10-24",487.676999997348,"alive","none","belted",1,"f",34,1997,1990,"unavail","driver",0,1,"4:145:2"
"374",374,"10-24",15.3549999999814,"alive","none","belted",0,"f",82,1997,1985,"unavail","pass",0,3,"4:146:2"
"375",375,"10-24",15.3549999999814,"dead","none","none",0,"m",87,1997,1981,"unavail","driver",0,4,"4:147:2"
"377",377,"10-24",18.5359999998473,"alive","airbag","belted",1,"f",33,1997,1994,"deploy","driver",1,1,"4:150:1"
"378",378,"25-39",18.5359999998473,"alive","none","belted",0,"m",47,1997,1994,"unavail","driver",0,3,"4:150:2"
"380",380,"25-39",18.5359999998473,"alive","airbag","belted",0,"m",62,1997,1994,"deploy","driver",1,3,"4:154:1"
"383",383,"25-39",12.3829999999143,"alive","none","none",1,"f",42,1997,1991,"unavail","pass",0,3,"4:158:1"
"385",385,"25-39",12.3829999999143,"alive","none","none",1,"f",30,1997,1990,"unavail","driver",0,3,"4:162:1"
"387",387,"10-24",21.7929999998305,"alive","none","belted",1,"m",18,1997,1979,"unavail","driver",0,3,"4:164:1"
"390",390,"10-24",12.3829999999143,"alive","airbag","belted",0,"f",17,1997,1991,"nodeploy","pass",0,3,"4:167:1"
"391",391,"10-24",20.2439999999478,"alive","airbag","belted",1,"m",44,1997,1994,"deploy","driver",1,3,"4:168:1"
"393",393,"25-39",408.290999997407,"alive","none","belted",1,"m",58,1997,1990,"unavail","driver",0,2,"4:169:2"
"394",394,"25-39",28.7269999999553,"alive","none","belted",1,"m",63,1997,1993,"unavail","driver",0,3,"4:170:1"
"396",396,"25-39",264.534999996424,"alive","none","belted",1,"f",18,1997,1990,"unavail","driver",0,2,"4:171:1"
"399",399,"10-24",114.38599999994,"alive","none","belted",1,"f",56,1997,1995,"unavail","driver",0,0,"4:173:2"
"401",401,"25-39",47.8169999998063,"alive","none","belted",1,"f",62,1997,1989,"unavail","pass",0,1,"5:1:1"
"403",403,"10-24",47.8169999998063,"alive","airbag","belted",0,"f",45,1997,1994,"deploy","pass",1,3,"5:1:2"
"406",406,"25-39",62.3159999996424,"alive","airbag","belted",1,"m",44,1997,1995,"deploy","driver",1,2,"5:15:1"
"407",407,"25-39",62.3159999996424,"alive","airbag","belted",0,"f",23,1997,1992,"deploy","driver",1,2,"5:15:2"
"409",409,"40-54",70.8409999990836,"alive","none","belted",1,"f",22,1997,1991,"unavail","driver",0,3,"5:17:1"
"410",410,"40-54",34.6989999995567,"alive","none","none",1,"m",49,1997,1988,"unavail","driver",0,3,"5:20:1"
"412",412,"10-24",1776.84199999273,"alive","airbag","belted",0,"f",50,1997,1993,"nodeploy","pass",0,0,"5:21:1"
"415",415,"40-54",29.6549999997951,"dead","none","belted",1,"f",38,1997,1989,"unavail","driver",0,4,"5:26:2"
"417",417,"10-24",307.334999997169,"alive","none","belted",1,"m",45,1997,1987,"unavail","driver",0,1,"5:27:2"
"419",419,"10-24",1754.78499999642,"alive","none","none",0,"m",18,1997,1993,"unavail","driver",0,0,"5:29:2"
"422",422,"25-39",36.7019999995828,"alive","none","none",0,"m",22,1997,1977,"unavail","pass",0,0,"5:33:1"
"423",423,"55+",36.7019999995828,"alive","airbag","belted",1,"f",31,1997,1996,"deploy","driver",1,3,"5:34:1"
"425",425,"40-54",140.112999999896,"alive","none","none",1,"f",17,1997,1985,"unavail","driver",0,3,"5:41:1"
"426",426,"40-54",140.112999999896,"alive","none","belted",1,"m",19,1997,1985,"unavail","pass",0,2,"5:41:1"
"428",428,"10-24",331.479999996722,"alive","none","belted",1,"m",35,1997,1991,"unavail","driver",0,0,"5:42:2"
"431",431,"25-39",76.9969999995083,"alive","none","belted",1,"m",33,1997,1994,"unavail","driver",0,2,"5:54:2"
"433",433,"10-24",37.6739999996498,"alive","none","none",0,"f",30,1997,1989,"unavail","driver",0,3,"5:63:2"
"435",435,"25-39",51.2429999997839,"alive","airbag","belted",1,"f",20,1997,1995,"deploy","driver",1,3,"5:71:2"
"438",438,"25-39",264.679999999702,"alive","none","belted",1,"f",22,1997,1984,"unavail","driver",0,0,"5:75:2"
"439",439,"25-39",264.679999999702,"alive","none","belted",1,"m",22,1997,1984,"unavail","pass",0,0,"5:75:2"
"441",441,"40-54",31.4079999998212,"dead","none","none",0,"m",37,1997,1987,"unavail","driver",0,4,"5:78:1"
"442",442,"40-54",38.8729999996722,"alive","airbag","none",1,"f",67,1997,1995,"deploy","driver",1,3,"5:80:1"
"444",444,"40-54",766.155999995768,"alive","none","none",1,"m",31,1997,1992,"unavail","driver",0,1,"5:84:2"
"447",447,"10-24",36.7019999995828,"alive","none","belted",1,"m",23,1997,1988,"unavail","driver",0,2,"5:87:2"
"449",449,"25-39",354.530999999493,"alive","none","belted",1,"f",39,1997,1988,"unavail","driver",0,1,"5:88:2"
"451",451,"25-39",311.245999999344,"alive","airbag","none",0,"f",50,1997,1994,"deploy","driver",1,3,"5:90:2"
"454",454,"25-39",29.6549999997951,"alive","none","none",1,"m",32,1997,1981,"unavail","driver",0,3,"5:94:1"
"455",455,"25-39",29.6549999997951,"dead","none","none",1,"m",22,1997,1981,"unavail","pass",0,4,"5:94:1"
"457",457,"40-54",38.8319999999367,"alive","airbag","belted",1,"f",46,1997,1996,"deploy","driver",1,1,"5:99:2"
